Source,Month,Pos,Neg
Guardian,1-2008,118,114
Guardian,2-2008,160,125
Guardian,3-2008,178,104
Guardian,4-2008,174,99
Guardian,5-2008,142,92
Guardian,6-2008,175,144
Guardian,7-2008,147,91
Guardian,8-2008,217,169
Guardian,9-2008,251,239
Guardian,10-2008,300,266
Guardian,11-2008,282,156
Guardian,12-2008,105,72
Guardian,1-2009,249,179
Guardian,2-2009,194,121
Guardian,3-2009,139,102
Guardian,4-2009,103,78
Guardian,5-2009,97,71
Guardian,6-2009,90,62
Guardian,7-2009,87,67
Guardian,8-2009,102,77
Guardian,9-2009,102,78
Guardian,10-2009,74,54
Guardian,11-2009,98,78
Guardian,12-2009,51,43
Guardian,1-2010,72,43
Guardian,2-2010,79,48
Guardian,3-2010,81,59
Guardian,4-2010,56,36
Guardian,5-2010,74,42
Guardian,6-2010,66,44
Guardian,7-2010,68,37
Guardian,8-2010,74,47
Guardian,9-2010,77,71
Guardian,10-2010,102,49
Guardian,11-2010,128,71
Guardian,12-2010,220,66
Guardian,1-2011,91,63
Guardian,2-2011,72,37
Guardian,3-2011,60,39
Guardian,4-2011,67,43
Guardian,5-2011,106,42
Guardian,6-2011,69,68
Guardian,7-2011,56,44
Guardian,8-2011,98,60
Guardian,9-2011,153,96
Guardian,10-2011,158,97
Guardian,11-2011,162,84
Guardian,12-2011,131,67
Guardian,1-2012,228,115
Guardian,2-2012,171,102
Guardian,3-2012,155,104
Guardian,4-2012,166,113
Guardian,5-2012,141,86
Guardian,6-2012,171,110
Guardian,7-2012,125,122
Guardian,8-2012,115,91
Guardian,9-2012,141,98
Guardian,10-2012,238,133
Guardian,11-2012,230,113
Guardian,12-2012,169,120
Guardian,1-2013,145,94
Guardian,2-2013,93,69
Guardian,3-2013,140,86
Guardian,4-2013,188,174
Guardian,5-2013,174,161
Guardian,6-2013,229,117
Guardian,7-2013,178,136
Guardian,8-2013,179,132
Guardian,9-2013,140,138
Guardian,10-2013,136,102
Guardian,11-2013,90,77
Guardian,12-2013,65,35
Guardian,1-2014,16,14
Guardian,2-2014,12,9
Guardian,3-2014,59,39
Guardian,4-2014,41,31
Guardian,5-2014,19,15
Guardian,6-2014,44,24
Guardian,7-2014,40,46
Guardian,8-2014,7,4
Guardian,9-2014,46,38
Guardian,10-2014,174,188
Guardian,11-2014,336,247
Guardian,12-2014,348,254
Guardian,1-2015,362,287
Guardian,2-2015,314,310
Guardian,3-2015,367,358
Guardian,4-2015,383,349
Guardian,5-2015,365,357
Guardian,6-2015,405,404
Guardian,7-2015,339,310
Guardian,8-2015,408,374
Guardian,9-2015,413,324
Guardian,10-2015,381,342
Guardian,11-2015,350,285
Guardian,12-2015,341,271
Guardian,1-2016,396,292
Guardian,2-2016,405,320
Guardian,3-2016,366,303
Guardian,4-2016,345,224
Guardian,5-2016,343,220
Guardian,6-2016,365,244
Guardian,7-2016,389,327
Guardian,8-2016,312,253
Guardian,9-2016,370,283
Guardian,10-2016,353,264
Guardian,11-2016,451,256
Guardian,12-2016,266,168
Guardian,1-2017,366,199
Guardian,2-2017,323,236
Guardian,3-2017,296,188
Guardian,4-2017,224,134
Guardian,5-2017,261,185
Guardian,6-2017,260,165
Guardian,7-2017,271,173
Guardian,8-2017,240,137
Guardian,9-2017,206,110
Guardian,10-2017,219,133
Guardian,11-2017,225,137
Guardian,12-2017,239,132
Guardian,1-2018,239,160
Guardian,2-2018,201,147
Guardian,3-2018,247,150
Guardian,4-2018,218,131
Guardian,5-2018,218,142
Guardian,6-2018,219,135
Guardian,7-2018,85,47
Guardian,8-2018,136,79
Guardian,9-2018,245,146
Guardian,10-2018,281,162
Guardian,11-2018,293,210
Guardian,12-2018,206,140
Guardian,1-2019,247,136
Guardian,2-2019,57,25
Guardian,3-2019,31,21
Guardian,4-2019,183,114
Guardian,5-2019,21,18
Guardian,6-2019,103,44
Guardian,7-2019,226,166
Guardian,8-2019,227,156
Guardian,9-2019,232,122
Guardian,10-2019,274,121
Guardian,11-2019,278,164
Guardian,12-2019,229,167
